,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
0,57.46,82.99,9.3,10.02,11.94,0.63,6.57,72.78333333333332,111.0,0
1,53.13,117.3,29.06,107.86,11.496666666666668,29.06,30.43,43.43,465.0,0
2,12.88,33.71,7.04,15.24,4.9,0.17,4.33,54.45,86.0,0
3,55.67,157.47,7.5,43.21,15.07,0.59,13.22,35.28,128.0,0
4,15.12,33.42333333333333,4.35,14.96,35.77,1.13,5.12,109.66,67.0,0
5,162.51,72.17666666666668,19.1,34.31,10.056666666666667,1.8,6.14,41.41,328.0,0
6,248.51,149.93666666666667,40.06,61.89,61.3,1.01,14.7,31.43,403.0,0
7,33.09,37.68,7.63,9.07,3.16,1.71,9.8,22.04,94.0,0
8,52.61,100.26,4.09,25.06,32.17,0.89,14.62,58.4,114.0,0
9,82.34,214.76,7.21,7.13,9.663333333333334,0.26,25.49,34.34,189.0,0
10,26.64,57.84,6.44,19.09,18.67,0.51,5.22,28.01,85.0,0
11,28.76,82.4,10.36,17.58,10.72,0.74,3.45,9.65,77.0,0
12,14.63,49.77,8.41,13.14,6.68,0.21,12.8,30.67,60.0,0
13,178.2,348.94,52.9,35.31,34.20333333333333,0.65,9.3,23.87,285.0,0
14,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,0
15,33.39,59.66,8.43,17.54,13.72,0.72,10.47,37.38,74.0,0
16,38.89,43.48333333333333,2.17,26.34,11.696666666666667,1.62,3.38,30.99,67.0,0
17,128.78,378.89,79.63,69.77,35.25,1.98,22.77,40.32,310.0,0
18,53.91,108.89,11.11,98.4,21.336666666666662,11.11,142.7,46.08,411.0,0
19,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,0
20,40.35,77.07,0.8,4.42,13.25,1.91,66.13,48.06,123.0,0
21,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,0
22,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,0
23,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,0
24,90.03,183.8,51.29,57.15,31.22,1.14,11.62,42.51,216.0,0
25,56.23,140.03,15.35,39.9,26.69,0.89,11.47,51.77,130.0,0
26,36.02,60.343333333333334,5.48,8.93,58.58,2.04,2.02,4.63,74.66666666666667,0
27,52.11,95.92,29.84,17.65,52.94,0.82,9.1,9.83,102.0,0
28,161.22,297.14,9.95,10.85,6.28,0.0,100.81,53.85,352.0,0
29,85.45,170.55,15.02,62.38,57.58,3.83,5.53,63.0,259.0,0
30,29.23,87.56,3.09,18.26,7.53,0.82,7.44,43.07,91.0,0
31,48.76,139.29,22.89,27.79,13.46,0.0,6.47,14.1,112.0,0
32,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,0
33,129.67,103.49,18.62,22.42,10.33,1.39,7.62,49.16,219.0,0
34,12.96,37.21,7.66,12.0,8.13,0.17,6.44,33.41,64.0,0
35,34.5,119.93,24.73,9.92,9.57,1.28,26.23,55.16,112.0,0
36,54.87,116.66,12.13,22.06,20.4,0.67,11.19,48.3,156.0,0
37,54.57,135.53,22.31,115.84,36.339999999999996,22.31,129.06,51.69,502.0,0
